29/5,23/8,28/6,24/8,22/10,26/6,21/13,30/3,19/13,27/4,27/7,31/3,19/15,29/3,23/12,30/5,23/9,22/11,27/6,26/8,26/9,25/9,19/14,29/4
19/15,25/7,23/10,23/12,27/5,22/7,20/13,21/13,20/13,24/9,27/6,23/10,29/4,23/11,23/10,25/8,26/8,28/6,17/15,28/6,30/4,23/10,23/11,20/13
23/8,,20/14,28/6,,22/10,,19/13,20/12,,27/4,24/9,,19/13,30/5,,25/9,,26/8,,25/9,22/11,,
24/8,,21/13,,,26/8,,27/7,,,,19/14,,23/12,,,29/5,,27/6,,27/6,,,
24/10,,29/5,,,31/3,,,,,,,,23/9,,,,,29/4,,27/6,,,
22/11,,26/6,,,19/15,,,,,,,,26/9,,,,,31/3,,,,,
,,26/8,,,30/3,,,,,,,,28/6,,,,,,,,,,
,,19/15,,,28/6,,,,,,,,,,,,,,,,,,
